	A	Eb	Ebuo	Es	R0	V	asph	b	c	dimA	dimEbuo	dimEs	entropy	geo	ico	r0	sFace	sVert	tag
0	50.266509183800146	50.87858662017699	134.05610268135874	0.03515023982545608	2.0	33.513554447184184	8.829999682086838e-09	1.7	0.0	4.835763636404541	1.2406785312462383	0.0033815407976175845	40.33133403634219	<geo_obj.Geo instance at 0x7f1542808878>	12	0.04	0.50998362	0.19722488	_i12_R2.0_b1.7
1	3.141656823699989	50.878586596750274	0.5236566494580142	0.002997327056900089	0.5	0.5236492881894261	8.829999682086838e-09	0.2	0.0	4.835763636256422	1.2406785275092678	0.004613605495795255	4.190345083338705	<geo_obj.Geo instance at 0x7f1542808d40>	12	0.04	0.23999229	0.64721041	_i12_R0.5_b0.2
2	51.435704058599775	98.36971119106072	127.99233280291708	0.017275866139336845	2.0	33.49054788633787	0.0011782407348540221	0.6	0.0	4.950508994959102	1.1856439368889933	0.0016627424915008472	14.248384600727311	<geo_obj.Geo instance at 0x7f14ca230950>	5	0.04	0.18003543	0.74713852	_i5_R2.0_b0.6
3	3.2147314970999936	98.36971098140731	0.499970047024628	0.0011858073339419053	0.5	0.5232898096642215	0.0011782407348540221	0.02	0.0	4.950508991537333	1.1856439330077642	0.0018260778152719604	0.4194943788719539	<geo_obj.Geo instance at 0x7f1541b2ce18>	5	0.04	0.02400472	1.00718968	_i5_R0.5_b0.02
4	0.8200763487000023	215.57286121753677	0.03084383330541549	2.64821052234663e-05	0.25	0.06536196742095314	0.0019812868342457975	0.005	0.0	5.054026826041281	1.1714799476200881	0.00016320586543144898	0.09804308635092428	<geo_obj.Geo instance at 0x7f154c9ae6c8>	1	0.04	0.01200538	1.02718859	_i1_R0.25_b0.005
5	0.8200763487000023	215.57286121753677	0.03084383330541549	2.670075892183358e-05	0.25	0.06536196742095314	0.0019812868342457975	0.004	0.0	5.054026826041281	1.1714799476200881	0.0001645534005224355	0.07843446908073942	<geo_obj.Geo instance at 0x7f14e176cd40>	1	0.04	0.0096043	1.03119038	_i1_R0.25_b0.004
6	3.141656823699989	50.878586596750274	0.5236566494580142	0.004013338723065084	0.5	0.5236492881894261	8.829999682086838e-09	0.5	0.0	4.835763636256422	1.2406785275092678	0.006177491223920909	10.47586270834676	<geo_obj.Geo instance at 0x7f154d20b2d8>	12	0.04	0.59998073	0.04722971	_i12_R0.5_b0.5
7	50.266509183800146	50.87858662017699	134.05610268135874	0.18507873896388644	2.0	33.513554447184184	8.829999682086838e-09	0.0	0.0	4.835763636404541	1.2406785312462383	0.017805036599629422	0.0	<geo_obj.Geo instance at 0x7f154ffa29e0>	12	0.04	0.0	1.04719755	_i12_R2.0_b0.0
8	0.8036828693999982	98.36970874887902	0.031248128114397075	0.0003060239134494745	0.25	0.06541122578623036	0.0011782407348540221	0.08	0.0	4.950508982790295	1.1856439498553428	0.0018850397217142257	1.5670739661129582	<geo_obj.Geo instance at 0x7f1448822998>	5	0.04	0.19203779	0.72713458	_i5_R0.25_b0.08
9	0.7854142032999979	50.878586425380966	0.03272854015590382	0.0020143703959248694	0.25	0.06545616080489232	8.829999682086838e-09	0.3	0.0	4.835763630870037	1.2406785165400611	0.012402397434101492	5.8696293156694335	<geo_obj.Geo instance at 0x7f15981fb998>	12	0.04	0.71997688	-0.15276386	_i12_R0.25_b0.3
10	3.141656823699989	50.878586596750274	0.5236566494580142	0.001484887062546895	0.5	0.5236492881894261	8.829999682086838e-09	0.3	0.0	4.835763636256422	1.2406785275092678	0.0022855974614551327	6.2855176250080556	<geo_obj.Geo instance at 0x7f150cc1e488>	12	0.04	0.35998844	0.44721684	_i12_R0.5_b0.3
11	7.380687137200021	215.57286278071027	2.4983504961272858	0.0003811719194344186	0.75	1.7647731197494163	0.001981286834245848	0.05	0.0	5.054026826464733	1.1714799474100093	0.0002610127038994686	1.090292092368602	<geo_obj.Geo instance at 0x7f151d0738c0>	1	0.04	0.04001792	0.98050102	_i1_R0.75_b0.05
12	3.2147314970999936	98.36971098140731	0.499970047024628	0.0015302786708149497	0.5	0.5232898096642215	0.0011782407348540221	0.0	0.0	4.950508991537333	1.1856439330077642	0.00235654465272176	0.0	<geo_obj.Geo instance at 0x7f15765695f0>	5	0.04	0.0	1.04719755	_i5_R0.5_b0.0
13	7.233145884599964	98.36971116294048	2.531098376484238	0.001996713250970294	0.75	1.7661031114913461	0.001178240734854015	0.2	0.0	4.950508995333077	1.1856439358268709	0.0013665902869558779	4.357129832408668	<geo_obj.Geo instance at 0x7f15d8db6290>	5	0.04	0.16003149	0.78047841	_i5_R0.75_b0.2
14	0.8200763487000023	215.57286121753677	0.03084383330541549	3.007437731812036e-05	0.25	0.06536196742095314	0.0019812868342457975	0.0	0.0	5.054026826041281	1.1714799476200881	0.00018534458405393016	0.0	<geo_obj.Geo instance at 0x7f1567471b48>	1	0.04	0.0	1.04719755	_i1_R0.25_b0.0
15	7.068727860199967	50.87858665938653	2.6510117998938076	0.0040128641273652526	0.75	1.7673163493580553	8.829999682086828e-09	0.4	0.0	4.835763637824415	1.2406785315224207	0.002745226979228188	8.705062253552978	<geo_obj.Geo instance at 0x7f14fccd0368>	12	0.04	0.31998972	0.51388137	_i12_R0.75_b0.4
16	50.266509183800146	50.87858662017699	134.05610268135874	0.052672415287164806	2.0	33.513554447184184	8.829999682086838e-09	1.9	0.0	4.835763636404541	1.2406785312462383	0.005067217808101907	45.07619686414716	<geo_obj.Geo instance at 0x7f1546058ea8>	12	0.04	0.56998169	0.0972281	_i12_R2.0_b1.9
17	3.141656823699989	50.878586596750274	0.5236566494580142	0.013957072621412837	0.5	0.5236492881894261	8.829999682086838e-09	0.7	0.0	4.835763636256422	1.2406785275092678	0.02148328351526644	14.666207791685464	<geo_obj.Geo instance at 0x7f1541db11b8>	12	0.04	0.83997302	-0.35275743	_i12_R0.5_b0.7
18	7.068727860199967	50.87858665938653	2.6510117998938076	0.003136597207099279	0.75	1.7673163493580553	8.829999682086828e-09	0.49	0.0	4.835763637824415	1.2406785315224207	0.0021457669640946152	10.663701260602396	<geo_obj.Geo instance at 0x7f15981fee18>	12	0.04	0.39198741	0.39388523	_i12_R0.75_b0.49
19	0.8200763487000023	215.57286121753677	0.03084383330541549	5.3105459674753286e-05	0.25	0.06536196742095314	0.0019812868342457975	0.02	0.0	5.054026826041281	1.1714799476200881	0.0003272822319908661	0.3921723454036971	<geo_obj.Geo instance at 0x7f153dc1ad88>	1	0.04	0.0480215	0.96716171	_i1_R0.25_b0.02
20	12.566627304599944	50.878586650003555	8.378506418389128	0.03492901100321145	1.0	4.189194308781637	8.829999682086838e-09	0.1	0.0	4.835763637513993	1.2406785302266363	0.013441032124970245	2.233801977859325	<geo_obj.Geo instance at 0x7f15362066c8>	12	0.04	0.05999807	0.94720077	_i12_R1.0_b0.1
21	13.12122158500002	215.57286260104635	7.896021319786214	0.00042871118758393273	1.0	4.183165915855777	0.0019812868342457975	0.015	0.0	5.0540268275385065	1.171479946328968	0.0001651308019820386	0.335718089893	<geo_obj.Geo instance at 0x7f15386f9ea8>	1	0.04	0.00900403	1.03219083	_i1_R1.0_b0.015
22	12.566627304599944	50.878586650003555	8.378506418389128	0.04626968480808827	1.0	4.189194308781637	8.829999682086838e-09	0.0	0.0	4.835763637513993	1.2406785302266363	0.017805036617285903	0.0	<geo_obj.Geo instance at 0x7f15b824be60>	12	0.04	0.0	1.04719755	_i12_R1.0_b0.0
23	3.280305394899997	215.5728634660135	0.493501332922512	0.00012029751323617237	0.5	0.5228957392905709	0.0019812868342457975	0.0	0.0	5.054026826691843	1.1714799479353966	0.00018534459017907	0.0	<geo_obj.Geo instance at 0x7f156c1b0a70>	1	0.04	0.0	1.04719755	_i1_R0.5_b0.0
24	0.7854142032999979	50.878586425380966	0.03272854015590382	0.00034823899102599007	0.25	0.06545616080489232	8.829999682086838e-09	0.164	0.0	4.835763630870037	1.2406785165400611	0.0021440934484999842	3.208730692565957	<geo_obj.Geo instance at 0x7f15051bab90>	12	0.04	0.39358736	0.39121865	_i12_R0.25_b0.164
25	12.566627304599944	50.878586650003555	8.378506418389128	0.01918806742882496	1.0	4.189194308781637	8.829999682086838e-09	1.047	0.0	4.835763637513993	1.2406785302266363	0.007383759898132213	23.387906708187135	<geo_obj.Geo instance at 0x7f153ffdd638>	12	0.04	0.62817982	0.00023122	_i12_R1.0_b1.047
26	51.435704058599775	98.36971119106072	127.99233280291708	0.010724814024330915	2.0	33.49054788633787	0.0011782407348540221	0.35	0.0	4.950508994959102	1.1856439368889933	0.0010322263351586574	8.311557683757599	<geo_obj.Geo instance at 0x7f15986c1098>	5	0.04	0.10502067	0.87216312	_i5_R2.0_b0.35
27	0.8036828693999982	98.36970874887902	0.031248128114397075	0.0005045965455616155	0.25	0.06541122578623036	0.0011782407348540221	0.1	0.0	4.950508982790295	1.1856439498553428	0.0031082032809193224	1.9588424576411978	<geo_obj.Geo instance at 0x7f15b8217200>	5	0.04	0.24004723	0.64711884	_i5_R0.25_b0.1
28	7.380687137200021	215.57286278071027	2.4983504961272858	0.00027066940420032335	0.75	1.7647731197494163	0.001981286834245848	0.0	0.0	5.054026826464733	1.1714799474100093	0.0001853445898061222	0.0	<geo_obj.Geo instance at 0x7f157485c5f0>	1	0.04	0.0	1.04719755	_i1_R0.75_b0.0
29	13.12122158500002	215.57286260104635	7.896021319786214	0.0006081743128618617	1.0	4.183165915855777	0.0019812868342457975	0.06	0.0	5.0540268275385065	1.171479946328968	0.00023425633605162846	1.342872359572	<geo_obj.Geo instance at 0x7f153c617b00>	1	0.04	0.03601613	0.98717067	_i1_R1.0_b0.06
30	0.8036828693999982	98.36970874887902	0.031248128114397075	0.00016959461184493175	0.25	0.06541122578623036	0.0011782407348540221	0.04	0.0	4.950508982790295	1.1856439498553428	0.0010446653541314984	0.7835369830564791	<geo_obj.Geo instance at 0x7f14de28b7e8>	5	0.04	0.09601889	0.88716607	_i5_R0.25_b0.04
31	3.141656823699989	50.878586596750274	0.5236566494580142	0.010377971351837953	0.5	0.5236492881894261	8.829999682086838e-09	0.02	0.0	4.835763636256422	1.2406785275092678	0.015974187919807408	0.4190345083338704	<geo_obj.Geo instance at 0x7f14fb54bb00>	12	0.04	0.02399923	1.00719884	_i12_R0.5_b0.02
32	51.435704058599775	98.36971119106072	127.99233280291708	0.02370106663326417	2.0	33.49054788633787	0.0011782407348540221	0.7	0.0	4.950508994959102	1.1856439368889933	0.0022811458636674766	16.623115367515197	<geo_obj.Geo instance at 0x7f1565504a70>	5	0.04	0.21004133	0.69712868	_i5_R2.0_b0.7
33	12.858926022399974	98.36971128548124	7.999520807875845	0.004743229320117797	1.0	4.186318488389134	0.0011782407348540221	0.04	0.0	4.950508995895457	1.1856439370486302	0.0018260778060262691	0.8944405322944664	<geo_obj.Geo instance at 0x7f156c00a560>	5	0.04	0.02400472	1.00718968	_i5_R1.0_b0.04
34	52.48488631989996	215.57286268356538	126.33634101717469	0.0019247601993853656	2.0	33.46532731463079	0.0019812868342457975	0.0	0.0	5.054026826832838	1.1714799459773644	0.00018534458898552308	0.0	<geo_obj.Geo instance at 0x7f14fb4d9950>	1	0.04	0.0	1.04719755	_i1_R2.0_b0.0
35	12.858926022399974	98.36971128548124	7.999520807875845	0.008073544781063239	1.0	4.186318488389134	0.0011782407348540221	0.4	0.0	4.950508995895457	1.1856439370486302	0.003108203282124394	8.944405322944665	<geo_obj.Geo instance at 0x7f151e56c290>	5	0.04	0.24004723	0.64711884	_i5_R1.0_b0.4
36	12.566627304599944	50.878586650003555	8.378506418389128	0.005573300452363278	1.0	4.189194308781637	8.829999682086838e-09	0.655	0.0	4.835763637513993	1.2406785302266363	0.0021446616514689907	14.631402954978581	<geo_obj.Geo instance at 0x7f1519d67200>	12	0.04	0.39298738	0.39221861	_i12_R1.0_b0.655
37	50.266509183800146	50.87858662017699	134.05610268135874	0.023758193088067862	2.0	33.513554447184184	8.829999682086838e-09	1.2	0.0	4.835763636404541	1.2406785312462383	0.002285597469716131	28.46917696682978	<geo_obj.Geo instance at 0x7f151c4e5ea8>	12	0.04	0.35998844	0.44721684	_i12_R2.0_b1.2
38	13.12122158500002	215.57286260104635	7.896021319786214	0.0004237136947343416	1.0	4.183165915855777	0.0019812868342457975	0.02	0.0	5.0540268275385065	1.171479946328968	0.00016320586970582893	0.44762411985733336	<geo_obj.Geo instance at 0x7f15185bd5a8>	1	0.04	0.01200538	1.02718859	_i1_R1.0_b0.02
39	3.2147314970999936	98.36971098140731	0.499970047024628	0.0009290898590082545	0.5	0.5232898096642215	0.0011782407348540221	0.04	0.0	4.950508991537333	1.1856439330077642	0.0014307470795354737	0.8389887577439078	<geo_obj.Geo instance at 0x7f157e4e9710>	5	0.04	0.04800945	0.96718181	_i5_R0.5_b0.04
40	12.566627304599944	50.878586650003555	8.378506418389128	0.005939548278034084	1.0	4.189194308781637	8.829999682086838e-09	0.6	0.0	4.835763637513993	1.2406785302266363	0.0022855974709827236	13.402811867155952	<geo_obj.Geo instance at 0x7f15b8189560>	12	0.04	0.35998844	0.44721684	_i12_R1.0_b0.6
41	7.068727860199967	50.87858665938653	2.6510117998938076	0.0035542337068042995	0.75	1.7673163493580553	8.829999682086828e-09	0.43	0.0	4.835763637824415	1.2406785315224207	0.0024314748650131083	9.35794192256945	<geo_obj.Geo instance at 0x7f1546c5ab90>	12	0.04	0.34398895	0.47388265	_i12_R0.75_b0.43
42	7.380687137200021	215.57286278071027	2.4983504961272858	0.0002536430114416261	0.75	1.7647731197494163	0.001981286834245848	0.005	0.0	5.054026826464733	1.1714799474100093	0.0001736855336558264	0.10902920923686019	<geo_obj.Geo instance at 0x7f15840d1908>	1	0.04	0.00400179	1.0405279	_i1_R0.75_b0.005
43	0.7854142032999979	50.878586425380966	0.03272854015590382	0.0015896781303473876	0.25	0.06545616080489232	8.829999682086838e-09	0.05	0.0	4.835763630870037	1.2406785165400611	0.009787584252009155	0.9782715526115724	<geo_obj.Geo instance at 0x7f14ee7c34d0>	12	0.04	0.11999615	0.84720398	_i12_R0.25_b0.05
44	12.858926022399974	98.36971128548124	7.999520807875845	0.0026812035105783214	1.0	4.186318488389134	0.0011782407348540221	0.175	0.0	4.950508995895457	1.1856439370486302	0.0010322263364625176	3.91317732878829	<geo_obj.Geo instance at 0x7f152df46b90>	5	0.04	0.10502067	0.87216312	_i5_R1.0_b0.175
45	12.566627304599944	50.878586650003555	8.378506418389128	0.006758278710306939	1.0	4.189194308781637	8.829999682086838e-09	0.55	0.0	4.835763637513993	1.2406785302266363	0.0026006531145810617	12.28591087822629	<geo_obj.Geo instance at 0x7f15b8299680>	12	0.04	0.3299894	0.49721524	_i12_R1.0_b0.55
46	52.48488631989996	215.57286268356538	126.33634101717469	0.002531716169617673	2.0	33.46532731463079	0.0019812868342457975	0.125	0.0	5.054026826832838	1.1714799459773644	0.00024379135283222967	2.9709375442004484	<geo_obj.Geo instance at 0x7f15b82c8560>	1	0.04	0.0375168	0.98466955	_i1_R2.0_b0.125
47	51.435704058599775	98.36971119106072	127.99233280291708	0.05596753113685731	2.0	33.49054788633787	0.0011782407348540221	1.0	0.0	4.950508994959102	1.1856439368889933	0.005386681710490585	23.747307667878854	<geo_obj.Geo instance at 0x7f15b8254758>	5	0.04	0.30005904	0.54709917	_i5_R2.0_b1.0
48	0.7854142032999979	50.878586425380966	0.03272854015590382	0.0003663980441745105	0.25	0.06545616080489232	8.829999682086838e-09	0.18	0.0	4.835763630870037	1.2406785165400611	0.0022558980076965154	3.52177758940166	<geo_obj.Geo instance at 0x7f1511e4c7e8>	12	0.04	0.43198613	0.3272207	_i12_R0.25_b0.18
49	3.2147314970999936	98.36971098140731	0.499970047024628	0.0014359265459971409	0.5	0.5232898096642215	0.0011782407348540221	0.005	0.0	4.950508991537333	1.1856439330077642	0.0022112475905246283	0.10487359471798847	<geo_obj.Geo instance at 0x7f152c46c5f0>	5	0.04	0.00600118	1.03719558	_i5_R0.5_b0.005
50	50.266509183800146	50.87858662017699	134.05610268135874	0.11980426270323384	2.0	33.513554447184184	8.829999682086838e-09	0.3	0.0	4.835763636404541	1.2406785312462383	0.01152546907421345	7.117294241707445	<geo_obj.Geo instance at 0x7f1487fd0b48>	12	0.04	0.08999711	0.89720237	_i12_R2.0_b0.3
51	3.2147314970999936	98.36971098140731	0.499970047024628	0.0006841161246419529	0.5	0.5232898096642215	0.0011782407348540221	0.1	0.0	4.950508991537333	1.1856439330077642	0.001053501055796051	2.0974718943597694	<geo_obj.Geo instance at 0x7f15542740e0>	5	0.04	0.12002362	0.8471582	_i5_R0.5_b0.1
52	52.48488631989996	215.57286268356538	126.33634101717469	0.0017846444898400114	2.0	33.46532731463079	0.0019812868342457975	0.07	0.0	5.054026826832838	1.1714799459773644	0.00017185216088752336	1.6637250247522513	<geo_obj.Geo instance at 0x7f15d890da28>	1	0.04	0.02100941	1.01218187	_i1_R2.0_b0.07
53	7.380687137200021	215.57286278071027	2.4983504961272858	0.00030923988413967884	0.75	1.7647731197494163	0.001981286834245848	0.04	0.0	5.054026826464733	1.1714799474100093	0.00021175625537322204	0.8722336738948815	<geo_obj.Geo instance at 0x7f1546bf2290>	1	0.04	0.03201434	0.99384033	_i1_R0.75_b0.04
54	7.068727860199967	50.87858665938653	2.6510117998938076	0.0031352815051687386	0.75	1.7673163493580553	8.829999682086828e-09	0.491	0.0	4.835763637824415	1.2406785315224207	0.0021448668836728255	10.685463916236278	<geo_obj.Geo instance at 0x7f15171f27e8>	12	0.04	0.39278739	0.39255194	_i12_R0.75_b0.491
55	0.8200763487000023	215.57286121753677	0.03084383330541549	2.732384645793468e-05	0.25	0.06536196742095314	0.0019812868342457975	0.008	0.0	5.054026826041281	1.1714799476200881	0.0001683934102086299	0.15686893816147884	<geo_obj.Geo instance at 0x7f15d88f1ef0>	1	0.04	0.0192086	1.01518322	_i1_R0.25_b0.008
56	0.7854142032999979	50.878586425380966	0.03272854015590382	0.002891855310289625	0.25	0.06545616080489232	8.829999682086838e-09	0.0	0.0	4.835763630870037	1.2406785165400611	0.017805036726456402	0.0	<geo_obj.Geo instance at 0x7f1564d09cf8>	12	0.04	0.0	1.04719755	_i12_R0.25_b0.0
57	13.12122158500002	215.57286260104635	7.896021319786214	0.0004324419788647986	1.0	4.183165915855777	0.0019812868342457975	0.03	0.0	5.0540268275385065	1.171479946328968	0.0001665678266599084	0.671436179786	<geo_obj.Geo instance at 0x7f1537f30518>	1	0.04	0.01800806	1.01718411	_i1_R1.0_b0.03
